pk_vaw;short_name;name;river_level_3;river_level_2;river_level_1;river_level_0;inventory_number;pk
22;zinal;Glacier de Zinal;B;6;3;;5;85B13621-D58C-11E6-9F57-6805CA3E30C8
23;moming;Glacier de Moming;B;6;2;;10;85B13622-D58C-11E6-8C0E-6805CA3E30C8
24;moiry;Glacier de Moiry;B;6;4;;2;85B13623-D58C-11E6-9B68-6805CA3E30C8
25;ferpecle;Glacier de Ferpécle;B;7;2;;11;85B15D30-D58C-11E6-9805-6805CA3E30C8
26;montmine;Glacier du Mont Miné;B;7;2;;15;85B15D31-D58C-11E6-A4AB-6805CA3E30C8
27;arolla;Bas Glacier d' Arolla;B;7;3;;14;85B18440-D58C-11E6-A346-6805CA3E30C8
28;tsidjiore;Glacier de Tsijiore Nouve;B;7;3;;16;85B18441-D58C-11E6-B038-6805CA3E30C8
29;cheilon;Glacier de Cheilon;B;7;4;;8;85B18442-D58C-11E6-857D-6805CA3E30C8
30;endarrey;Glacier de l' En Darrey;B;7;4;;11;85B1AB51-D58C-11E6-AD2D-6805CA3E30C8
31;granddesert;Glacier du Grand Désert;B;7;5;;6;85B1AB52-D58C-11E6-A5F0-6805CA3E30C8
32;montfort;Glacier de Tortin;B;7;5;;12;85B1D261-D58C-11E6-9C2C-6805CA3E30C8
33;tsanfleuron;Glacier de Tsanfleuron;B;2;2;;1;85B1D262-D58C-11E6-9FA3-6805CA3E30C8
34;otemma;Glacier d' Otemma;B;8;2;;27;85B1D263-D58C-11E6-AD4A-6805CA3E30C8
35;montdurand;Glacier du Mont Durand;B;8;2;;36;85B1F970-D58C-11E6-AAA1-6805CA3E30C8
36;breney;Glacier du Brenay;B;8;2;;19;85B1F971-D58C-11E6-82DC-6805CA3E30C8
37;gietro;Glacier du Giétro;B;8;2;;14;85B22080-D58C-11E6-8E62-6805CA3E30C8
38;corbassiere;Glacier de Corbassière;B;8;3;;3;85B22081-D58C-11E6-BC0C-6805CA3E30C8
39;valsorey;Glacier de Valsorey;B;8;4;;15;85B22082-D58C-11E6-8939-6805CA3E30C8
40;tseudet;Glacier de Tseudet;B;8;4;;17;85B24791-D58C-11E6-9CAD-6805CA3E30C8
41;boveyre;Glacier de Boveire;B;8;4;;4;85B24792-D58C-11E6-A491-6805CA3E30C8
42;saleina;Glacier de Saleina;B;8;5;;16;85B26E9E-D58C-11E6-AB1F-6805CA3E30C8
43;trient;Glacier du Trient;B;9;0;;2;85B295AE-D58C-11E6-9C51-6805CA3E30C8
44;paneyrosse;Glacier de Paneirosse;B;1;7;;2;85B2BCC0-D58C-11E6-BE0B-6805CA3E30C8
45;grandplanneve;Glacier de Grand Plan Névé;B;1;7;;3;85B2BCC1-D58C-11E6-8A83-6805CA3E30C8
46;martinets;Glacier des Martinets;B;1;7;;8;85B2BCC2-D58C-11E6-B468-6805CA3E30C8
47;sexrouge;Glacier du Sex Rouge;B;1;6;;1;85B2E3CF-D58C-11E6-80EC-6805CA3E30C8
48;prapio;Glacier du Prapio;B;1;6;;3;85B2E3D0-D58C-11E6-81DD-6805CA3E30C8
49;pierredar;Glacier de Pierredar;B;1;6;;5;85B30ADE-D58C-11E6-B744-6805CA3E30C8
50;oberaar;Oberaargletscher;A;5;4;g;3;85B30ADF-D58C-11E6-8F0C-6805CA3E30C8
51;unteraar;Unteraargletscher;A;5;4;g;11;85B30AE0-D58C-11E6-9F97-6805CA3E30C8
52;gauli;Gauligletscher;A;5;4;i;5;85B331F0-D58C-11E6-822A-6805CA3E30C8
53;stein;Steingletscher;A;5;4;e;12;85B331F1-D58C-11E6-AACC-6805CA3E30C8
54;steinlimmi;Steilimigletscher;A;5;4;e;13;85B35900-D58C-11E6-BB1C-6805CA3E30C8
55;trift;Triftgletscher (Gadmen);A;5;4;e;24;85B35901-D58C-11E6-AF45-6805CA3E30C8
56;rosenlaui;Rosenlauigletscher;A;5;4;j;2;85B35902-D58C-11E6-A6D2-6805CA3E30C8
57;obgrindelwald;Oberer Grindelwaldgletscher;A;5;4;l;4;85B3800F-D58C-11E6-AE8E-6805CA3E30C8
58;untgrindelwald;Unterer Grindelwaldgletscher;A;5;4;l;19;85B38010-D58C-11E6-94A4-6805CA3E30C8
59;eiger;Eigergletscher;A;5;4;m;3;85B3A71E-D58C-11E6-BA7F-6805CA3E30C8
60;tschingel;Tschingelfirn;A;5;4;m;21;85B3A71F-D58C-11E6-9EF2-6805CA3E30C8
61;gamchi;Gamchigletscher;A;5;5;a;4;85B3A720-D58C-11E6-9C22-6805CA3E30C8
62;schwarz;Schwarzgletscher;A;5;5;c;5;85B3CE30-D58C-11E6-8D53-6805CA3E30C8
63;laemmern;Wildstrubelgletscher;A;5;5;c;13;85B3CE31-D58C-11E6-A927-6805CA3E30C8
64;bluemlisalp;Blüemlisalpgletscher;A;5;5;b;2;85B3F540-D58C-11E6-9F14-6805CA3E30C8
65;raetzli;Rätzligletscher (Plaine Morte);A;5;5;f;3;85B3F541-D58C-11E6-A062-6805CA3E30C8
66;tiefen;Tiefengletscher;A;5;1;e;37;85B3F542-D58C-11E6-9F24-6805CA3E30C8
67;sanktanna;Sankt Annafirn;A;5;1;e;12;85B41C4F-D58C-11E6-9F78-6805CA3E30C8
68;kehlen;Chelengletscher;A;5;1;f;15;85B41C50-D58C-11E6-9861-6805CA3E30C8
69;rotfirn;Rotfirn (Nord);A;5;1;f;13;85B44361-D58C-11E6-B8CE-6805CA3E30C8
70;damma;Dammagletscher;A;5;1;f;10;85B44362-D58C-11E6-B50B-6805CA3E30C8
71;wallenbur;Wallenburfirn;A;5;1;f;24;85B46A70-D58C-11E6-BEC5-6805CA3E30C8
72;brunni;Brunnifirn;A;5;1;d;15;85B46A71-D58C-11E6-BD1F-6805CA3E30C8
73;huefi;Hüfifirn;A;5;1;d;10;85B46A72-D58C-11E6-BB72-6805CA3E30C8
74;griess;Griessfirn;A;5;1;c;2;85B49180-D58C-11E6-B656-6805CA3E30C8
75;firnalpeli;Firnalpeligletscher (Ost);A;5;1;h;13;85B49181-D58C-11E6-8958-6805CA3E30C8
76;griessen;Griessenfirn;A;5;1;h;2;85B49182-D58C-11E6-A998-6805CA3E30C8
77;biferten;Bifertenfirn;A;5;0;i;12;85B4B891-D58C-11E6-8D13-6805CA3E30C8
78;limmern;Limmerenfirn;A;5;0;i;6;85B4B892-D58C-11E6-8E93-6805CA3E30C8
79;sulz;Hintersulzfirn;A;5;0;i;2;85B4DFA1-D58C-11E6-BAB7-6805CA3E30C8
